s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
467,1560.0,6.9,23.5,0.0,0.0,24.5,0
468,840.0,0.0,11.0,0.0,0.0,11.0,0
469,840.0,3.2,11.5,2.85,0.0,14.35,1
470,180.0,0.6,5.25,0.0,0.0,5.25,0
471,540.0,0.0,7.0,0.0,0.0,7.0,0
472,0.0,0.0,3.25,0.0,0.0,3.25,0
473,1080.0,1.3,10.0,0.0,0.0,10.0,0
474,480.0,1.0,6.75,0.0,0.0,8.25,0
475,360.0,0.0,6.5,0.0,0.0,7.5,0
476,360.0,1.2,6.5,3.0,0.0,9.5,1
477,1440.0,17.78,43.5,9.1,0.0,54.6,1
478,180.0,0.4,4.75,0.0,0.0,4.75,0
479,540.0,1.6,7.75,0.0,0.0,7.75,0
480,960.0,4.2,13.75,0.0,0.0,13.75,0
481,960.0,3.0,12.5,2.7,0.0,16.2,1
482,360.0,0.6,5.5,2.0,0.0,7.5,1
483,1080.0,2.1,11.0,0.0,0.0,11.0,0
484,240.0,1.3,6.25,2.0,0.0,9.25,1
485,840.0,2.4,10.5,2.4,0.0,14.4,1
486,600.0,2.1,9.0,3.0,0.0,12.0,1
487,60.0,0.0,3.25,0.0,0.0,5.25,0
488,300.0,1.1,6.0,3.0,0.0,9.0,1
489,60.0,0.2,4.0,0.0,0.0,4.0,0
490,780.0,0.6,8.25,0.0,0.0,8.25,0
491,660.0,2.8,10.0,0.0,0.0,11.0,0
492,0.0,0.0,10.75,2.15,0.0,12.9,1
493,1740.0,16.0,40.5,8.9,0.0,53.4,1
494,600.0,0.7,7.5,0.0,0.0,7.5,0
495,0.0,0.0,3.25,0.0,0.0,6.75,0
496,1260.0,0.0,16.25,1.0,0.0,17.25,1
497,0.0,0.0,47.0,9.4,0.0,56.4,1
498,120.0,0.5,4.25,2.0,0.0,6.25,1
499,0.0,0.0,10.0,2.5,0.0,12.5,1
500,0.0,0.0,3.25,0.0,0.0,3.25,0
501,1500.0,17.6,43.25,8.65,0.0,51.9,1
502,300.0,0.8,5.75,0.0,0.0,5.75,0
503,900.0,2.0,10.5,0.0,0.0,10.5,0
504,600.0,1.8,8.75,2.0,0.0,10.75,1
505,360.0,1.3,6.5,2.0,0.0,9.5,1
506,360.0,2.2,6.65,0.0,0.0,6.65,0
507,360.0,0.5,5.5,0.0,0.0,5.5,0
508,420.0,0.8,6.0,0.0,0.0,8.0,0
509,360.0,0.0,6.25,0.0,0.0,6.25,0
510,180.0,0.3,4.25,0.0,0.0,4.25,0
511,120.0,0.3,4.05,2.0,0.0,6.05,1
512,480.0,1.3,7.0,3.0,0.0,10.0,1
514,360.0,0.91,6.0,2.0,0.0,9.0,1
515,780.0,6.8,19.25,3.0,0.0,22.25,1
